word	category
acelguilla	nombre femenino
agüista	nombre masculino y nombre femenino
antidiarreico	adjetivo masculino 
apealar	verbo transitivo
apparat	nombre masculino
arante	adjetivo invariable
ardilla	nombre femenino
bátavo	adjetivo masculino
bicicross	nombre masculino
bifocal	adjetivo invariable
cantautor	nombre masculino
cantinero	nombre masculino
cartulina	nombre femenino
centavo	nombre masculino
cerebrotónico	adjetivo masculino
chalaza	nombre femenino
chigüire	nombre masculino
coliseo	nombre masculino
conspirar	verbo intransitivo
corbata	nombre masculino y nombre femenino
corralero	adjetivo masculino
cosmotrón	nombre masculino
crístico	adjetivo masculino
cuentapartícipe	nombre masculino y nombre femenino
dabuti	adjetivo invariable
dactiloscopia	nombre femenino
deformabilidad	nombre femenino
desinfección	nombre femenino
desinsectación	nombre femenino
desmitificador	adjetivo masculino
diligentemente	adverbio
emparejador	adjetivo masculino
empurpurado	adjetivo masculino
epifito	adjetivo masculino
escorar	verbo transitivo
estadista	nombre masculino y nombre femenino
esteatosis	nombre femenino
estuco	nombre masculino
exequias	nombre femenino plural
faisánido	adjetivo masculino
fétido	adjetivo masculino
floración	nombre femenino
fotogramétrico	adjetivo masculino
funcionario	nombre masculino y nombre femenino
gabato	nombre masculino y nombre femenino
garcilla	nombre femenino
giroscopio	nombre masculino
helenizante	adjetivo invariable
hipogino	nombre masculino
incrustar	verbo transitivo
intercadencia	nombre femenino
jaín	adjetivo masculino
lipotimia	nombre femenino
magnolia	nombre femenino
manes	nombre masculino plural
meano	adjetivo masculino
mediar	verbo intransitivo
mensualizar	verbo transitivo
mesmerización	nombre femenino
mestizo	adjetivo masculino
minuto	nombre masculino
mochalero	adjetivo masculino
modisto	nombre masculino
monásticamente	adverbio
morra	nombre femenino
nefólogo	nombre masculino
novatada	nombre femenino
ovni	nombre masculino
pagar	verbo transitivo
paleteo	nombre masculino
palmítico	adjetivo masculino
paralogismo	nombre masculino
pasarratos	nombre masculino
perrillo	nombre masculino
pezuña	nombre femenino
pinabete	nombre masculino
pitahaya	nombre femenino
postrar	verbo transitivo
prédica	nombre femenino
prolongador	adjetivo masculino
provinciano	adjetivo masculino
puzzle	nombre masculino
quepis	nombre masculino
raor	nombre masculino
reciclado	nombre masculino
rememorar	verbo transitivo
ridiculización	nombre femenino
sagum	nombre masculino
salbanda	nombre femenino
socialmente	adverbio
speed	nombre masculino
standarizar	verbo transitivo
sublimado	adjetivo masculino
superbomba	nombre femenino
talgo	nombre masculino
tornajo	nombre masculino
treinta	nombre masculino
tundidor	adjetivo masculino
vega	nombre femenino
verraquear	verbo intransitivo
