word;pred_definition;pred_words;known
acelguilla;Planta herbácea perteneciente a la familia de las amarantáceas, cuyas hojas y frutos son comestibles y se utilizan en la cocina, especialmente en la elaboración de guisos y estofados.;Amaranta, chilco, quingombó, verdolaga, bledo, berza.;False
agüista;Persona que se encarga de la distribución y venta de agua, especialmente en zonas rurales o en áreas donde no hay servicios de agua potable pública.;Aguaire, aguador, vendedor de agua, repartidor de agua, distribuidor de agua, fontanero.;False
antidiarreico;Descriptivo de un medicamento o sustancia que tiene la propiedad de reducir o prevenir la frecuencia y la cantidad de deposiciones, así como su consistencia y consistencia, en especial en casos de diarrea.;Antidiarreico, antiinflamatorio, astringente, opsonificante, laxante, antiemético.;True
apealar;Acción de establecer una relación de parentesco o parentesco entre dos personas o grupos, a través de lazos de sangre, matrimonio o adopción, lo que implica una conexión afectiva y jurídica entre ellos.;Casar, unir, ligar, enlazar, vincular, relacionar, adoptar, acoger, establecer, unir en matrimonio.;False
apparat;Instrumento o dispositivo complejo, generalmente compuesto por varios componentes interconectados, diseñado para realizar una función específica, como la transmisión de señales, la medición de parámetros, la manipulación de materiales, etc.;Aparato, dispositivo, equipo, instrumento, máquina, herramienta, aparición, mecanismo.;False
arante;Técnico o habilidoso en la manipulación o manejo de herramientas o instrumentos, especialmente aquellos que requieren destreza y precisión.;Herramientero, habilidoso, diestro, experto, perito, habilísimo, manejador, manipulador, precisista.;False
ardilla;Pequeño mamífero roedor, con cola larga y patas cortas, que vive en árboles y se alimenta de frutos, semillas y hojas, y es conocido por su habilidad para escalar y saltar.;Squirrea, ardilla, ardillita, roedor, marsupial, lemur, loris.;True
bátavo;Término que se refiere a algo relacionado con la región histórica y geográfica de Batavia, antiguo nombre de la ciudad de Ámsterdam, en los Países Bajos.;Batavio, holandés, neerlandés, amsterdamés, batavista.;False
bicicross;Disciplina deportiva que combina elementos de ciclismo de montaña y trial, en la que los participantes deben superar obstáculos y realizar maniobras acrobáticas en un recorrido que incluye tramos de tierra, piedra, madera y otros materiales, utilizando bicicletas específicamente diseñadas para este tipo de competición.;Ciclismo de trial, trial, mountain bike, bike trial, trial bike, freeride.;False
bifocal;Característica que se refiere a un tipo de lente óptica que combina dos focos diferentes en una sola pieza, permitiendo al usuario ver objetos cercanos y lejanos sin necesidad de cambiar de lente.;Binocular, bifocal, bifocional, dioptico, anisocórico, afocal.;True
